"total energy supply in Botswana",Value,Year,Units
"Coal",24540,2000, TJ
"Coal",22511,2001, TJ
"Coal",23077,2002, TJ
"Coal",20033,2003, TJ
"Coal",21992,2004, TJ
"Coal",23644,2005, TJ
"Coal",23101,2006, TJ
"Coal",21355,2007, TJ
"Coal",21567,2008, TJ
"Coal",17414,2009, TJ
"Coal",21992,2010, TJ
"Coal",16045,2011, TJ
"Coal",25720,2012, TJ
"Coal",30652,2013, TJ
"Coal",42451,2014, TJ
"Coal",43324,2015, TJ
"Coal",39454,2016, TJ
"Coal",45068,2017, TJ
"Coal",51088,2018, TJ
"Coal",43301,2019, TJ
"Coal",32313,2020, TJ
"Coal",35215,2021, TJ
"Coal",37373,2022, TJ
"Oil",24402,2000, TJ
"Oil",26754,2001, TJ
"Oil",27425,2002, TJ
"Oil",29357,2003, TJ
"Oil",27749,2004, TJ
"Oil",28579,2005, TJ
"Oil",30166,2006, TJ
"Oil",33559,2007, TJ
"Oil",37305,2008, TJ
"Oil",33657,2009, TJ
"Oil",36073,2010, TJ
"Oil",37581,2011, TJ
"Oil",39757,2012, TJ
"Oil",41501,2013, TJ
"Oil",43333,2014, TJ
"Oil",42205,2015, TJ
"Oil",40667,2016, TJ
"Oil",41176,2017, TJ
"Oil",44307,2018, TJ
"Oil",42397,2019, TJ
"Oil",38957,2020, TJ
"Oil",40936,2021, TJ
"Oil",42019,2022, TJ
"Wind, solar, etc.",21,2000, TJ
"Wind, solar, etc.",21,2001, TJ
"Wind, solar, etc.",21,2002, TJ
"Wind, solar, etc.",21,2003, TJ
"Wind, solar, etc.",6,2004, TJ
"Wind, solar, etc.",6,2005, TJ
"Wind, solar, etc.",,2006, TJ
"Wind, solar, etc.",,2007, TJ
"Wind, solar, etc.",,2008, TJ
"Wind, solar, etc.",,2009, TJ
"Wind, solar, etc.",,2010, TJ
"Wind, solar, etc.",,2011, TJ
"Wind, solar, etc.",3,2012, TJ
"Wind, solar, etc.",7,2013, TJ
"Wind, solar, etc.",10,2014, TJ
"Wind, solar, etc.",24,2015, TJ
"Wind, solar, etc.",49,2016, TJ
"Wind, solar, etc.",61,2017, TJ
"Wind, solar, etc.",67,2018, TJ
"Wind, solar, etc.",75,2019, TJ
"Wind, solar, etc.",43,2020, TJ
"Wind, solar, etc.",85,2021, TJ
"Wind, solar, etc.",90,2022, TJ
"Biofuels and waste",22721,2000, TJ
"Biofuels and waste",22721,2001, TJ
"Biofuels and waste",22256,2002, TJ
"Biofuels and waste",21808,2003, TJ
"Biofuels and waste",24802,2004, TJ
"Biofuels and waste",24978,2005, TJ
"Biofuels and waste",25428,2006, TJ
"Biofuels and waste",25900,2007, TJ
"Biofuels and waste",26391,2008, TJ
"Biofuels and waste",26901,2009, TJ
"Biofuels and waste",27423,2010, TJ
"Biofuels and waste",27933,2011, TJ
"Biofuels and waste",28435,2012, TJ
"Biofuels and waste",28858,2013, TJ
"Biofuels and waste",29379,2014, TJ
"Biofuels and waste",29833,2015, TJ
"Biofuels and waste",30307,2016, TJ
"Biofuels and waste",30821,2017, TJ
"Biofuels and waste",31315,2018, TJ
"Biofuels and waste",31808,2019, TJ
"Biofuels and waste",32247,2020, TJ
"Biofuels and waste",32698,2021, TJ
"Biofuels and waste",33122,2022, TJ